"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"6","Swag Labs","0","Login Functionality","0","0","User logs in with valid or invalid credentials","0"
"1","Swag Labs","0","Login Functionality","0","0","User submits login form without a username","0"
"1","Swag Labs","0","Checkout Functionality","0","0","User submits checkout form without last name","0"
"1","Swag Labs","0","Shopping Cart Functionality","0","0","User adds a product to cart","0"
"1","Swag Labs","0","Login Functionality","0","0","User logs out from the application","0"
"1","Swag Labs","0","Login Functionality","0","0","User submits login form without a password","0"
"1","Swag Labs","0","Checkout Functionality","0","0","User completes the checkout process","0"
"1","Swag Labs","0","Shopping Cart Functionality","0","0","User removes a product from cart","0"
"1","Swag Labs","0","Shopping Cart Functionality","0","0","User attempts to checkout with an empty cart","0"
"1","Swag Labs","0","Checkout Functionality","0","0","User submits empty checkout form","0"
"1","Swag Labs","0","Checkout Functionality","0","0","User submits checkout form without first name","0"
"1","Swag Labs","0","Login Functionality","0","0","User submits login form without any input","0"
"1","Swag Labs","0","Checkout Functionality","0","0","User submits checkout form without postal code","0"
